url_origem,regra_wcag_id,titulo_erro,seletor_css,snippet_html
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/relatorios/auditoria"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/relatorios/aquisicao-de-equipamentos"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/relatorios/autoavaliacao"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/relatorios/censo"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/relatorios/orcamento"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/relatorios/patrimonio-imovel"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/relatorios/ouvidoria"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/relatorios/recredenciamento"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/documentos/atas"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/documentos/fornecedor"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/documentos/mocoes"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/documentos/pareceres"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/documentos/resolucoes"">"
https://ufal.br/transparencia,target-size,Touch targets do not have sufficient size or spacing.,div.description > ul.content-itens > li > a,"<a href=""https://ufal.br/transparencia/documentos/reuni"">"
https://ufal.br/transparencia,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,nav#menu > ul > li.transparencia > a.state-published,"<a href=""https://ufal.br/transparencia"" class=""state-published nav-link"" aria-haspopup=""true"">"
https://ufal.br/transparencia,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,li.transparencia > ul.has_subtree > li.institucional > a.state-published,"<a href=""https://ufal.br/transparencia/institucional"" class=""state-published nav-link"" aria-haspopup=""true"">"
https://ufal.br/transparencia,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,li.transparencia > ul.has_subtree > li.planejamento > a.state-published,"<a href=""https://ufal.br/transparencia/planejamento"" class=""state-published nav-link"" aria-haspopup=""true"">"
https://ufal.br/transparencia,color-contrast,Background and foreground colors do not have a sufficient contrast ratio.,li.transparencia > ul.has_subtree > li.orcamento > a.state-published,"<a href=""https://ufal.br/transparencia/orcamento"" class=""state-published nav-link"" aria-haspopup=""true"">"
