antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'frame-title', 'link-name'})",frozenset({'color-contrast'}),0.10396039603960396,0.4207920792079208,0.09653465346534654,0.9285714285714286,2.2067226890756304,1.0,0.052788942260562695,8.108910891089113,0.610284742881428,0.22543352601156066,0.8766788766788768,0.5789915966386555
frozenset({'image-alt'}),frozenset({'heading-order'}),0.20297029702970298,0.23267326732673269,0.10148514851485149,0.5,2.148936170212766,1.0,0.054259386334673074,1.5346534653465347,0.6708074534161491,0.30370370370370364,0.34838709677419355,0.46808510638297873
"frozenset({'button-name', 'image-alt'})",frozenset({'heading-order'}),0.10891089108910891,0.23267326732673269,0.054455445544554455,0.5,2.148936170212766,1.0,0.02911479266738555,1.5346534653465347,0.6,0.1896551724137931,0.34838709677419355,0.3670212765957447
frozenset({'heading-order'}),frozenset({'image-alt'}),0.23267326732673269,0.20297029702970298,0.10148514851485149,0.43617021276595747,2.148936170212766,1.0,0.054259386334673074,1.413599850551093,0.696774193548387,0.30370370370370364,0.2925862296815118,0.46808510638297873
frozenset({'heading-order'}),"frozenset({'button-name', 'image-alt'})",0.23267326732673269,0.10891089108910891,0.054455445544554455,0.23404255319148934,2.1489361702127656,1.0,0.02911479266738555,1.1633663366336633,0.696774193548387,0.1896551724137931,0.14042553191489357,0.3670212765957447
"frozenset({'target-size', 'link-name', 'color-contrast'})",frozenset({'heading-order'}),0.12871287128712872,0.23267326732673269,0.06188118811881188,0.4807692307692307,2.0662847790507364,1.0,0.03193314380943044,1.4778144481114777,0.5922727272727272,0.2066115702479339,0.3233250620347394,0.3733633387888707
frozenset({'heading-order'}),"frozenset({'target-size', 'link-name', 'color-contrast'})",0.23267326732673269,0.12871287128712872,0.06188118811881188,0.26595744680851063,2.0662847790507364,1.0,0.03193314380943044,1.1869708710001434,0.672516129032258,0.2066115702479339,0.1575193423597679,0.3733633387888707
frozenset({'link-name'}),"frozenset({'button-name', 'landmark-one-main'})",0.48514851485148514,0.07425742574257425,0.07425742574257425,0.15306122448979592,2.0612244897959187,1.0,0.03823154592686991,1.0930454491232258,1.0,0.15306122448979592,0.0851249590745389,0.576530612244898
frozenset({'link-name'}),"frozenset({'button-name', 'heading-order'})",0.48514851485148514,0.0891089108910891,0.0891089108910891,0.1836734693877551,2.0612244897959187,1.0,0.0458778551122439,1.115841584158416,1.0,0.1836734693877551,0.10381543921916594,0.5918367346938775
frozenset({'link-name'}),"frozenset({'button-name', 'color-contrast'})",0.48514851485148514,0.10643564356435643,0.10643564356435643,0.2193877551020408,2.061224489795918,1.0,0.05479854916184688,1.1446968226234389,1.0,0.2193877551020408,0.12640624116682683,0.6096938775510204
